order,title,name,position,ไว้วางใจ,ไม่ไว้วางใจ,งดออกเสียง,ไม่ลงคะแนน,sum
9,พล.อ.,ประยุทธ์ จันทร์โอชา,นายกรัฐมนตรี และ รมว. กลาโหม,272,206,3,,481
8,พล.อ.,ประวิตร วงษ์สุวรรณ,รองนายกรัฐมนตรี,274,204,4,,482
7,,อนุทิน ชาญวีรกูล,รองนายกรัฐมนตรี และ รมว. สาธารณสุข,275,201,6,,482
6,,จุรินทร์ ลักษณวิศิษฏ์,รองนายกรัฐมนตรี และ รมว. พาณิชย์,268,207,7,,482
5,,ณัฏฐพล ทีปสุวรรณ,รมว. ศึกษาธิการ,258,215,8,,481
4,,ศักดิ์สยาม ชิดชอบ,รมว. คมนาคม,268,201,12,1,482
3,,สุชาติ ชมกลิ่น,รมว. แรงงาน,263,212,5,1,481
2,ร.อ.,ธรรมนัส พรหมเผ่า,รมว. เกษตรและสหกรณ์,274,199,5,1,479
1,พล.อ.,อนุพงษ์ เผ่าจินดา,รมว. มหาดไทย,272,205,3,,480
0,,นิพนธ์ บุญญามณี,รมช. มหาดไทย,272,206,4,,482